"","package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
"24",NA,"BERNHC.afm.gz","C:\Windows\Fonts\BERNHC.TTF","Bernard MT Condensed","Bernard MT Condensed","BernardMT-Condensed",FALSE,FALSE,FALSE,NA
"25",NA,"ITCBLKAD.afm.gz","C:\Windows\Fonts\ITCBLKAD.TTF","Blackadder ITC","Blackadder ITC","BlackadderITC-Regular",FALSE,FALSE,FALSE,NA
"26",NA,"BOD_R.afm.gz","C:\Windows\Fonts\BOD_R.TTF","Bodoni MT","Bodoni MT","BodoniMT",FALSE,FALSE,FALSE,NA
"27",NA,"BOD_B.afm.gz","C:\Windows\Fonts\BOD_B.TTF","Bodoni MT Bold","Bodoni MT","BodoniMT-Bold",TRUE,FALSE,FALSE,NA
"28",NA,"BOD_BI.afm.gz","C:\Windows\Fonts\BOD_BI.TTF","Bodoni MT Bold Italic","Bodoni MT","BodoniMT-BoldItalic",TRUE,TRUE,FALSE,NA
"29",NA,"BOD_I.afm.gz","C:\Windows\Fonts\BOD_I.TTF","Bodoni MT Italic","Bodoni MT","BodoniMT-Italic",FALSE,TRUE,FALSE,NA
"30",NA,"BOD_BLAR.afm.gz","C:\Windows\Fonts\BOD_BLAR.TTF","Bodoni MT Black","Bodoni MT Black","BodoniMTBlack",FALSE,FALSE,FALSE,NA
"31",NA,"BOD_BLAI.afm.gz","C:\Windows\Fonts\BOD_BLAI.TTF","Bodoni MT Black Italic","Bodoni MT Black","BodoniMTBlack-Italic",FALSE,TRUE,FALSE,NA
"32",NA,"BOD_CR.afm.gz","C:\Windows\Fonts\BOD_CR.TTF","Bodoni MT Condensed","Bodoni MT Condensed","BodoniMTCondensed",FALSE,FALSE,FALSE,NA
"33",NA,"BOD_CB.afm.gz","C:\Windows\Fonts\BOD_CB.TTF","Bodoni MT Condensed Bold","Bodoni MT Condensed","BodoniMTCondensed-Bold",TRUE,FALSE,FALSE,NA
"34",NA,"BOD_CBI.afm.gz","C:\Windows\Fonts\BOD_CBI.TTF","Bodoni MT Condensed Bold Italic","Bodoni MT Condensed","BodoniMTCondensed-BoldItalic",TRUE,TRUE,FALSE,NA
"35",NA,"BOD_CI.afm.gz","C:\Windows\Fonts\BOD_CI.TTF","Bodoni MT Condensed Italic","Bodoni MT Condensed","BodoniMTCondensed-Italic",FALSE,TRUE,FALSE,NA
"36",NA,"BOD_PSTC.afm.gz","C:\Windows\Fonts\BOD_PSTC.TTF","Bodoni MT Poster Compressed","Bodoni MT Poster Compressed","BodoniMTPosterCompressed",FALSE,FALSE,FALSE,NA
"37",NA,"BKANT.afm.gz","C:\Windows\Fonts\BKANT.TTF","Book Antiqua","Book Antiqua","BookAntiqua",FALSE,FALSE,FALSE,NA
"38",NA,"ANTQUAB.afm.gz","C:\Windows\Fonts\ANTQUAB.TTF","Book Antiqua Bold","Book Antiqua","BookAntiqua-Bold",TRUE,FALSE,FALSE,NA
"39",NA,"ANTQUABI.afm.gz","C:\Windows\Fonts\ANTQUABI.TTF","Book Antiqua Bold Italic","Book Antiqua","BookAntiqua-BoldItalic",TRUE,TRUE,FALSE,NA
"40",NA,"ANTQUAI.afm.gz","C:\Windows\Fonts\ANTQUAI.TTF","Book Antiqua Italic","Book Antiqua","BookAntiqua-Italic",FALSE,TRUE,FALSE,NA
"41",NA,"BOOKOS.afm.gz","C:\Windows\Fonts\BOOKOS.TTF","Bookman Old Style","Bookman Old Style","BookmanOldStyle",FALSE,FALSE,FALSE,NA
"42",NA,"BOOKOSB.afm.gz","C:\Windows\Fonts\BOOKOSB.TTF","Bookman Old Style Bold","Bookman Old Style","BookmanOldStyle-Bold",TRUE,FALSE,FALSE,NA
"43",NA,"BOOKOSBI.afm.gz","C:\Windows\Fonts\BOOKOSBI.TTF","Bookman Old Style Bold Italic","Bookman Old Style","BookmanOldStyle-BoldItalic",TRUE,TRUE,FALSE,NA
"44",NA,"BOOKOSI.afm.gz","C:\Windows\Fonts\BOOKOSI.TTF","Bookman Old Style Italic","Bookman Old Style","BookmanOldStyle-Italic",FALSE,TRUE,FALSE,NA
"45",NA,"BSSYM7.afm.gz","C:\Windows\Fonts\BSSYM7.TTF","Bookshelf Symbol 7","Bookshelf Symbol 7","BookshelfSymbolSeven",FALSE,FALSE,TRUE,NA
"46",NA,"BRADHITC.afm.gz","C:\Windows\Fonts\BRADHITC.TTF","Bradley Hand ITC","Bradley Hand ITC","BradleyHandITC",FALSE,FALSE,FALSE,NA
"47",NA,"BRITANIC.afm.gz","C:\Windows\Fonts\BRITANIC.TTF","Britannic Bold","Britannic Bold","BritannicBold",FALSE,FALSE,FALSE,NA
"48",NA,"BROADW.afm.gz","C:\Windows\Fonts\BROADW.TTF","Broadway","Broadway","Broadway",FALSE,FALSE,FALSE,NA
"49",NA,"BRUSHSCI.afm.gz","C:\Windows\Fonts\BRUSHSCI.TTF","Brush Script MT Italic","Brush Script MT","BrushScriptMT",FALSE,TRUE,FALSE,NA
"50",NA,"calibri.afm.gz","C:\Windows\Fonts\calibri.ttf","Calibri","Calibri","Calibri",FALSE,FALSE,FALSE,NA
"51",NA,"calibrib.afm.gz","C:\Windows\Fonts\calibrib.ttf","Calibri Bold","Calibri","Calibri-Bold",TRUE,FALSE,FALSE,NA
"52",NA,"calibriz.afm.gz","C:\Windows\Fonts\calibriz.ttf","Calibri Bold Italic","Calibri","Calibri-BoldItalic",TRUE,TRUE,FALSE,NA
"53",NA,"calibrii.afm.gz","C:\Windows\Fonts\calibrii.ttf","Calibri Italic","Calibri","Calibri-Italic",FALSE,TRUE,FALSE,NA
"54",NA,"calibril.afm.gz","C:\Windows\Fonts\calibril.ttf","Calibri Light","Calibri Light","Calibri-Light",FALSE,FALSE,FALSE,NA
"55",NA,"calibrili.afm.gz","C:\Windows\Fonts\calibrili.ttf","Calibri Light Italic","Calibri Light","Calibri-LightItalic",FALSE,TRUE,FALSE,NA
"56",NA,"CALIFB.afm.gz","C:\Windows\Fonts\CALIFB.TTF","Californian FB Bold","Californian FB","CalifornianFB-Bold",TRUE,FALSE,FALSE,NA
"57",NA,"CALIFI.afm.gz","C:\Windows\Fonts\CALIFI.TTF","Californian FB Italic","Californian FB","CalifornianFB-Italic",FALSE,TRUE,FALSE,NA
"58",NA,"CALIFR.afm.gz","C:\Windows\Fonts\CALIFR.TTF","Californian FB","Californian FB","CalifornianFB-Reg",FALSE,FALSE,FALSE,NA
"59",NA,"CALISTB.afm.gz","C:\Windows\Fonts\CALISTB.TTF","Calisto MT Bold","Calisto MT","CalisMTBol",TRUE,FALSE,FALSE,NA
"60",NA,"CALIST.afm.gz","C:\Windows\Fonts\CALIST.TTF","Calisto MT","Calisto MT","CalistoMT",FALSE,FALSE,FALSE,NA
"61",NA,"CALISTBI.afm.gz","C:\Windows\Fonts\CALISTBI.TTF","Calisto MT Bold Italic","Calisto MT","CalistoMT-BoldItalic",TRUE,TRUE,FALSE,NA
"62",NA,"CALISTI.afm.gz","C:\Windows\Fonts\CALISTI.TTF","Calisto MT Italic","Calisto MT","CalistoMT-Italic",FALSE,TRUE,FALSE,NA
"63",NA,"cambriab.afm.gz","C:\Windows\Fonts\cambriab.ttf","Cambria Bold","Cambria","Cambria-Bold",TRUE,FALSE,FALSE,NA
"64",NA,"cambriaz.afm.gz","C:\Windows\Fonts\cambriaz.ttf","Cambria Bold Italic","Cambria","Cambria-BoldItalic",TRUE,TRUE,FALSE,NA
"65",NA,"cambriai.afm.gz","C:\Windows\Fonts\cambriai.ttf","Cambria Italic","Cambria","Cambria-Italic",FALSE,TRUE,FALSE,NA
"66",NA,"Candara.afm.gz","C:\Windows\Fonts\Candara.ttf","Candara","Candara","Candara",FALSE,FALSE,FALSE,NA
"67",NA,"Candarab.afm.gz","C:\Windows\Fonts\Candarab.ttf","Candara Bold","Candara","Candara-Bold",TRUE,FALSE,FALSE,NA
"68",NA,"Candaraz.afm.gz","C:\Windows\Fonts\Candaraz.ttf","Candara Bold Italic","Candara","Candara-BoldItalic",TRUE,TRUE,FALSE,NA
"69",NA,"Candarai.afm.gz","C:\Windows\Fonts\Candarai.ttf","Candara Italic","Candara","Candara-Italic",FALSE,TRUE,FALSE,NA
"70",NA,"Candaral.afm.gz","C:\Windows\Fonts\Candaral.ttf","Candara Light","Candara Light","Candara-Light",FALSE,FALSE,FALSE,NA
"71",NA,"Candarali.afm.gz","C:\Windows\Fonts\Candarali.ttf","Candara Light Italic","Candara Light","Candara-LightItalic",FALSE,TRUE,FALSE,NA
"72",NA,"CASTELAR.afm.gz","C:\Windows\Fonts\CASTELAR.TTF","Castellar","Castellar","Castellar",FALSE,FALSE,FALSE,NA
"73",NA,"CENTAUR.afm.gz","C:\Windows\Fonts\CENTAUR.TTF","Centaur","Centaur","Centaur",FALSE,FALSE,FALSE,NA
"74",NA,"CENTURY.afm.gz","C:\Windows\Fonts\CENTURY.TTF","Century","Century","Century",FALSE,FALSE,FALSE,NA
"75",NA,"GOTHIC.afm.gz","C:\Windows\Fonts\GOTHIC.TTF","Century Gothic","Century Gothic","CenturyGothic",FALSE,FALSE,FALSE,NA
"76",NA,"GOTHICB.afm.gz","C:\Windows\Fonts\GOTHICB.TTF","Century Gothic Bold","Century Gothic","CenturyGothic-Bold",TRUE,FALSE,FALSE,NA
"77",NA,"GOTHICBI.afm.gz","C:\Windows\Fonts\GOTHICBI.TTF","Century Gothic Bold Italic","Century Gothic","CenturyGothic-BoldItalic",TRUE,TRUE,FALSE,NA
"78",NA,"GOTHICI.afm.gz","C:\Windows\Fonts\GOTHICI.TTF","Century Gothic Italic","Century Gothic","CenturyGothic-Italic",FALSE,TRUE,FALSE,NA
"79",NA,"CENSCBK.afm.gz","C:\Windows\Fonts\CENSCBK.TTF","Century Schoolbook","Century Schoolbook","CenturySchoolbook",FALSE,FALSE,FALSE,NA
"80",NA,"SCHLBKB.afm.gz","C:\Windows\Fonts\SCHLBKB.TTF","Century Schoolbook Bold","Century Schoolbook","CenturySchoolbook-Bold",TRUE,FALSE,FALSE,NA
"81",NA,"SCHLBKBI.afm.gz","C:\Windows\Fonts\SCHLBKBI.TTF","Century Schoolbook Bold Italic","Century Schoolbook","CenturySchoolbook-BoldItalic",TRUE,TRUE,FALSE,NA
"82",NA,"SCHLBKI.afm.gz","C:\Windows\Fonts\SCHLBKI.TTF","Century Schoolbook Italic","Century Schoolbook","CenturySchoolbook-Italic",FALSE,TRUE,FALSE,NA
"83",NA,"CHILLER.afm.gz","C:\Windows\Fonts\CHILLER.TTF","Chiller","Chiller","Chiller-Regular",FALSE,FALSE,FALSE,NA
"84",NA,"COLONNA.afm.gz","C:\Windows\Fonts\COLONNA.TTF","Colonna MT","Colonna MT","ColonnaMT",FALSE,FALSE,FALSE,NA
"85",NA,"comic.afm.gz","C:\Windows\Fonts\comic.ttf","Comic Sans MS","Comic Sans MS","ComicSansMS",FALSE,FALSE,FALSE,NA
